Name,Short Name,x.mni,y.mni,z.mni,Hemisphere,Cortex,Other Name,Other Name 2,lobe,functional_system,index
ctx-rh-fusiform,    rFUS ,33,-52,-19,Right,cortical,Fusiform_R,fusiform_rh,R temporal,visual,40
ctx-rh-inferiorparietal,    rIPL ,48,-67,29,Right,cortical,Inferiorparietal_R,inferiorparietal_rh,R parietal,fronto-parietal,41
ctx-rh-inferiortemporal,    rITG ,61,-31,-27,Right,cortical,Inferiortemporal_R,inferiortemporal_rh,R temporal,visual,42
ctx-rh-isthmuscingulate,    riCC ,1,-48,26,Right,cortical,Isthmuscingulate_R,isthmuscingulate_rh,R temporal,default mode,43
ctx-rh-lateraloccipital,    rLOG ,38,-88,1,Right,cortical,Lateraloccipital_R,lateraloccipital_rh,R occipital,visual,44
ctx-rh-lateralorbitofrontal,    rLOF ,20,38,-21,Right,cortical,Lateralorbitofrontal_R,lateralorbitofrontal_rh,R frontal,ventral attention,45
ctx-rh-lingual,   rLING ,5,-69,-1,Right,cortical,Lingual_R,lingual_rh,R occipital,visual,46
ctx-rh-medialorbitofrontal,    rMOF ,7,45,-13,Right,cortical,Medialorbitofrontal_R,medialorbitofrontal_rh,R frontal,fronto-parietal,47
ctx-rh-middletemporal,    rMTG ,69,-24,-14,Right,cortical,Middletemporal_R,middletemporal_rh,R temporal,other,48
ctx-rh-parahippocampal,   rPARH ,20,-29,-17,Right,cortical,Parahippocampal_R,parahippocampal_rh,R temporal,other,49
ctx-rh-paracentral,  rparaC ,4,-25,61,Right,cortical,Paracentral_R,paracentral_rh,R parietal,motor and somatosensory,50
ctx-rh-parsopercularis,  rpOPER ,57,15,17,Right,cortical,Parsopercularis_R,parsopercularis_rh,R frontal,cingulo-opercular,51
ctx-rh-parsorbitalis,   rpORB ,49,40,-13,Right,cortical,Parsorbitalis_R,parsorbitalis_rh,R frontal,cingulo-opercular,52
ctx-rh-parstriangularis,   rpTRI ,55,31,5,Right,cortical,Parstriangularis_R,parstriangularis_rh,R frontal,fronto-parietal,53
ctx-rh-pericalcarine,rperiCAL ,14,-85,5,Right,cortical,Pericalcarine_R,pericalcarine_rh,R occipital,visual,54
ctx-rh-postcentral,  rpostC ,51,-23,56,Right,cortical,Postcentral_R,postcentral_rh,R parietal,motor and somatosensory,55
ctx-rh-posteriorcingulate,    rPCC ,1,-16,37,Right,cortical,Posteriorcingulate_R,posteriorcingulate_rh,R parietal,default mode,56
ctx-rh-precentral,   rpreC ,47,-9,54,Right,cortical,Precentral_R,precentral_rh,R frontal,motor and somatosensory,57
ctx-rh-precuneus,   rPCUN ,7,-57,41,Right,cortical,Precuneus_R,precuneus_rh,R parietal,default mode,58
ctx-rh-rostralanteriorcingulate,   rrACC ,4,38,4,Right,cortical,Rostralanteriorcingulate_R,rostralanteriorcingulate_rh,R frontal,cingulo-opercular,59
ctx-rh-rostralmiddlefrontal,   rrMFG ,43,45,21,Right,cortical,Rostralmiddlefrontal_R,rostralmiddlefrontal_rh,R frontal,cingulo-opercular,60
ctx-rh-superiorfrontal,    rSFG ,16,34,53,Right,cortical,Superiorfrontal_R,superiorfrontal_rh,R frontal,default mode,61
ctx-rh-superiorparietal,    rSPL ,17,-65,59,Right,cortical,Superiorparietal_R,superiorparietal_rh,R parietal,dorsal attention,62
ctx-rh-superiortemporal,    rSTG ,67,-12,-1,Right,cortical,Superiortemporal_R,superiortemporal_rh,R temporal,auditory,63
ctx-rh-supramarginal,   rSMAR ,65,-36,35,Right,cortical,Supramarginal_R,supramarginal_rh,R parietal,cingulo-opercular,64
ctx-rh-frontalpole,     rFP ,9,64,-13,Right,cortical,Frontalpole_R,frontalpole_rh,R frontal,fronto-parietal,65
ctx-rh-temporalpole,     rTP ,37,21,-38,Right,cortical,Temporalpole_R,temporalpole_rh,R temporal,other,66
ctx-rh-transversetemporal,     rTT ,45,-25,11,Right,cortical,Transversetemporal_R,transversetemporal_rh,R temporal,auditory,67
ctx-rh-insula,    rINS ,43,12,-6,Right,cortical,Insula_R,insula_rh,R temporal,fronto-parietal,68
Left-Cerebellum-Cortex,,,,,Left,subcortical,Cerebellum_Cortex_L,cerebellumcortex_lh,Cerebellum,NA,69
Left-Thalamus-Proper,,,,,Left,subcortical,Thalamus_Proper_L,thalamusproper_lh,L Subcortical,subcortical,70
Left-Caudate,,,,,Left,subcortical,Caudate_L,caudate_lh,L Subcortical,subcortical,71
Left-Putamen,,,,,Left,subcortical,Putamen_L,putamen_lh,L Subcortical,subcortical,72
Left-Pallidum,,,,,Left,subcortical,Pallidum_L,pallidum_lh,L Subcortical,subcortical,73
Left-Hippocampus,,,,,Left,subcortical,Hippocampus_L,hippocampus_lh,L Subcortical,subcortical,74
Left-Amygdala,,,,,Left,subcortical,Amygdala_L,amygdala_lh,L Subcortical,subcortical,75
Left-Accumbens-area,,,,,Left,subcortical,Accumbens_area_L,accumbensarea_lh,L Subcortical,subcortical,76
Left-VentralDC/Hypothalamus,,,,,Left,subcortical,Hypothalamus_L,ventralDC/Hypothalamus_lh,L Subcortical,subcortical,77
Right-Cerebellum-Cortex,,,,,Right,subcortical,Cerebellum_Cortex_R,cerebellumcortex_rh,Cerebellum,NA,78
Right-Thalamus-Proper,,,,,Right,subcortical,Thalamus_Proper_R,thalamusproper_rh,R Subcortical,subcortical,79
Right-Caudate,,,,,Right,subcortical,Caudate_R,caudate_rh,R Subcortical,subcortical,80
Right-Putamen,,,,,Right,subcortical,Putamen_R,putamen_rh,R Subcortical,subcortical,81
Right-Pallidum,,,,,Right,subcortical,Pallidum_R,pallidum_rh,R Subcortical,subcortical,82
Right-Hippocampus,,,,,Right,subcortical,Hippocampus_R,hippocampus_rh,R Subcortical,subcortical,83
Right-Amygdala,,,,,Right,subcortical,Amygdala_R,amygdala_rh,R Subcortical,subcortical,84
Right-Accumbens-area,,,,,Right,subcortical,Accumbens_area_R,accumbensarea_rh,R Subcortical,subcortical,85
Right-VentralDC/Hypothalamus,,,,,Right,subcortical,Hypothalamus_R,ventralDC/Hypothalamus_rh,R Subcortical,subcortical,86
